open,high,low,close,volume,date,RSI,symbol
603.72,606.97,591.7062,592.49,10427286,2025-05-09,57.6687,META
606.285,611.2959,596.62,598.01,14622805,2025-05-08,59.5511,META
590.36,603.075,586.67,596.81,13160976,2025-05-07,59.2828,META
592.525,596.03,586.58,587.31,10600650,2025-05-06,57.1957,META
591.22,603.21,588.05,599.27,13887724,2025-05-05,60.8414,META
583.455,604.34,578.33,597.02,24739260,2025-05-02,60.4005,META
592.075,592.95,570.5,572.21,31159033,2025-05-01,55.2398,META
538.4,549.1,529.5,549.0,29243971,2025-04-30,49.5258,META
546.0,556.5699,544.12,554.44,11835036,2025-04-29,50.9411,META
555.64,558.4899,540.59,549.74,15178995,2025-04-28,49.7899,META
546.8,549.86,536.25,547.27,17098921,2025-04-25,49.2083,META
518.73,533.9,517.5,533.15,13910011,2025-04-24,45.8807,META
528.525,535.3376,516.52,520.27,18173910,2025-04-23,42.7009,META
491.87,506.88,486.36,500.28,17399408,2025-04-22,37.4003,META
491.325,493.5,479.8,484.66,16165982,2025-04-21,32.8963,META
505.25,507.3,498.0133,501.48,14593508,2025-04-17,35.4464,META
508.51,513.37,495.63,502.31,18735075,2025-04-16,35.5728,META
532.105,537.94,517.5,521.52,15558659,2025-04-15,38.5242,META
556.175,557.77,528.28,531.48,14130928,2025-04-14,40.1271,META
535.505,547.4,528.5901,543.57,17642327,2025-04-11,42.1015,META
575.49,581.3,535.3,546.29,28173491,2025-04-10,42.5388,META
509.265,587.89,502.11,585.77,39216578,2025-04-09,49.4627,META
543.25,547.43,502.86,510.45,28034211,2025-04-08,28.986,META
485.1,539.37,481.9,516.25,36606136,2025-04-07,29.8508,META
506.62,518.0,494.2,504.73,38589814,2025-04-04,25.7658,META
546.22,552.5596,530.3,531.62,34777460,2025-04-03,29.4877,META
574.91,592.66,573.36,583.93,13470778,2025-04-02,39.8987,META
570.84,589.91,570.0,586.0,12836574,2025-04-01,40.4231,META
563.5,578.7,553.3,576.36,21124677,2025-03-31,36.8328,META
600.31,601.75,573.92,576.74,17602823,2025-03-28,36.9142,META
602.0,614.25,600.1,602.58,10436524,2025-03-27,42.9032,META
624.89,626.7499,606.61,610.98,12661891,2025-03-26,45.1125,META
626.76,633.88,621.18,626.31,15312540,2025-03-25,49.4257,META
614.97,622.54,612.2001,618.85,15741274,2025-03-24,47.1421,META
583.425,597.545,580.95,596.25,25015864,2025-03-21,39.451,META
582.755,610.2,579.51,586.0,24336505,2025-03-20,35.4984,META
584.28,592.3223,574.77,584.06,20537498,2025-03-19,34.7498,META
600.05,600.25,574.66,582.36,20297708,2025-03-18,34.1277,META
607.46,613.1,598.0,604.9,15473909,2025-03-17,38.6662,META
602.805,608.86,594.78,607.6,12364505,2025-03-14,39.2468,META
620.245,620.5,586.51,590.64,16480324,2025-03-13,33.223,META
629.9,633.33,609.35,619.56,15746966,2025-03-12,39.1911,META
595.055,614.934,593.33,605.71,17401469,2025-03-11,33.9116,META
608.07,610.11,586.87,597.99,21395988,2025-03-10,30.8021,META
625.37,634.79,600.61,625.66,21375671,2025-03-07,36.5211,META
648.0,650.5625,624.11,627.93,13446454,2025-03-06,37.0451,META
641.0,659.5,637.66,656.47,13770026,2025-03-05,44.4984,META
645.51,649.75,623.65,640.0,21495208,2025-03-04,37.7915,META
673.675,681.25,650.8439,655.05,10843763,2025-03-03,42.1092,META
658.04,669.63,642.6017,668.2,17534168,2025-02-28,46.4114,META
682.45,688.6469,657.57,658.24,12500013,2025-02-27,42.2626,META
659.65,683.0078,658.0,673.7,14488705,2025-02-26,47.571,META
665.972,668.0,641.86,657.5,20579662,2025-02-25,40.2713,META
686.28,687.27,662.45,668.13,15676994,2025-02-24,44.0043,META
696.58,703.87,682.36,683.55,15660355,2025-02-21,50.2827,META
697.275,705.63,693.64,694.84,12587408,2025-02-20,55.6842,META
704.095,707.0,695.39,703.77,17535480,2025-02-19,60.4539,META
736.0,737.0,706.44,716.37,21938703,2025-02-18,68.096,META
726.14,740.91,725.62,736.67,16901249,2025-02-14,83.9775,META
721.5197,729.0,718.04,728.56,12569064,2025-02-13,82.46,META
715.3,727.1,712.6,725.38,12016517,2025-02-12,81.8335,META
713.32,723.66,710.04,719.8,12997959,2025-02-11,80.7109,META
718.56,721.2,711.33,717.4,12904317,2025-02-10,80.2229,META
716.795,725.01,711.75,714.52,16427067,2025-02-07,79.6491,META
705.88,718.9,703.5,711.99,13080690,2025-02-06,79.1557,META
703.55,718.14,699.01,704.87,17793766,2025-02-05,77.746,META
702.5,707.71,691.61,704.19,13826270,2025-02-04,77.6118,META
675.91,704.0,675.25,697.46,21415739,2025-02-03,76.2974,META
691.0,705.2999,685.58,689.18,19331660,2025-01-31,74.5934,META
696.82,710.79,676.1,687.0,29322898,2025-01-30,74.1388,META
675.0,681.0459,665.67,676.49,21377820,2025-01-29,71.8873,META
666.0,682.58,659.465,674.33,20950107,2025-01-28,71.4123,META
626.61,663.87,625.1,659.88,28399190,2025-01-27,68.06,META
636.4,652.0,634.2,647.49,19065329,2025-01-24,64.7708,META
627.36,636.6,621.15,636.45,9910163,2025-01-23,61.4896,META
623.3,633.7,619.435,623.5,12274011,2025-01-22,57.1416,META
617.825,621.5,609.0082,616.46,11674016,2025-01-21,54.5513,META
624.05,624.97,603.67,612.77,17280600,2025-01-17,53.1738,META
611.5,616.25,609.71,611.3,8355349,2025-01-16,52.6429,META
610.21,622.46,606.5,617.12,15524302,2025-01-15,54.9327,META
605.065,605.49,588.55,594.25,13597992,2025-01-14,46.4302,META
607.1,608.97,598.445,608.33,10785031,2025-01-13,52.0433,META
610.03,629.91,597.34,615.86,19256564,2025-01-10,55.3673,META
613.395,616.4397,602.79,610.72,10085846,2025-01-08,53.4842,META
631.7,632.1011,608.23,617.89,12071479,2025-01-07,56.5761,META
611.825,630.99,605.62,630.2,14560754,2025-01-06,62.3198,META
604.76,609.5,596.4136,604.63,11436784,2025-01-03,53.145,META
589.72,604.91,587.82,599.24,12682269,2025-01-02,50.8001,META
592.265,593.97,583.85,585.51,6019520,2024-12-31,44.194,META
588.75,596.9399,585.58,591.24,7025864,2024-12-30,46.6197,META
599.41,601.85,589.8,599.81,8084229,2024-12-27,50.4668,META
605.48,606.3,598.94,603.35,6091239,2024-12-26,52.1164,META
602.715,607.99,599.2849,607.75,4726056,2024-12-24,54.1596,META
589.6,601.09,586.25,599.85,10205750,2024-12-23,50.9539,META
590.58,603.11,580.0,585.25,48989390,2024-12-20,44.265,META
610.39,611.52,595.0,595.57,14958082,2024-12-19,48.6169,META
621.0,627.36,596.32,597.19,17075480,2024-12-18,49.3237,META
626.17,632.37,616.54,619.44,12897842,2024-12-17,60.5514,META
629.975,631.15,618.58,624.24,10885625,2024-12-16,63.4444,META
627.22,631.08,616.886,620.35,8453349,2024-12-13,61.8997,META
